Plot,Species,Date,<2 (cm),2-4 (cm),4-6 (cm),6-8 (cm)
BF7,FAGR,7/15/19,3,0,0,0
BF7,QURU,7/15/19,0,0,1,0
BF8,PIST,7/15/19,28,12,4,3
BF8,PIRE,7/15/19,2,0,0,0
BF8,ACRU,7/15/19,14,14,14,28
BF8,QURU,7/15/19,2,2,0,2
BF8,ABBA,7/15/19,0,1,0,0
BF8,FAGR,7/15/19,7,1,2,1
BP36#1,PIST,7/16/19,60,34,18,11
BP36#1,PIRE,7/16/19,8,1,0,0
BP36#1,QURU,7/16/19,29,22,5,1
BP36#1,POGR,7/16/19,0,0,1,1
BP36#1,FAGR,7/16/19,3,1,0,0
BP36#1,AMSP,7/16/19,0,2,0,0
BP36#1,ACRU,7/16/19,2,2,2,3
BP36#2,PIST,7/12/19,95,36,16,13
BP36#2,QURU,7/12/19,2,3,0,2
BP36#2,PIRE,7/12/19,2,1,0,0
BP36#2,ACRU,7/12/19,2,9,7,4
BP36#2,FAGR,7/12/19,1,0,0,0
BP54#1,PIST,7/11/19,44,31,17,10
BP54#1,POGR,7/11/19,0,0,4,8
BP54#1,ACRU,7/11/19,7,8,11,6
BP54#1,PIRE,7/11/19,11,9,1,0
BP54#1,QURU,7/11/19,0,0,1,2
BP54#1,FAGR,7/11/19,1,0,0,0
BP54#1,AMSP,7/11/19,1,2,0,0
BP54#2,PIST,7/11/19,29,40,18,8
BP54#2,POGR,7/11/19,0,1,0,4
BP54#2,ACRU,7/11/19,12,24,11,15
BP54#2,PIRE,7/11/19,13,3,0,0
BP54#2,QURU,7/11/19,1,1,0,0
BP54#2,ACSA,7/11/19,0,1,1,0
BP54#2,COCO,7/11/19,0,1,0,0
BP54#2,BEPA,7/11/19,0,0,1,0
BP17#3,PIST,7/22/19,55,20,5,0
BP17#3,PIRE,7/22/19,15,0,0,0
BP17#2,ACRU,7/22/19,14,0,0,0
BP17#2,PIST,7/22/19,31,15,2,4
BP17#2,PIRE,7/22/19,4,1,0,0
BP17#2,PIBA,7/22/19,1,0,0,0
BP17#2,FAGR,7/22/19,0,4,1,0
BP17#1,PIRE,7/22/19,1,1,1,1
BP17#1,PIST,7/22/19,25,10,7,2
BP17#1,QURU,7/22/19,1,0,0,0
BP17#1,FAGR,7/22/19,4,0,0,0
BP17#1,ACRU,7/22/19,0,0,0,1
BP17#1,AMSP,7/22/19,1,0,0,0
BS40E,PIST,8/16/19,154,138,33,9
BS40E,PIRE,8/16/19,0,1,2,0
BS40E,QURU,8/16/19,3,4,2,0
BS40E,ACRU,8/16/19,1,2,0,2
BS40E,AMSP,8/16/19,2,0,0,0
BS40E,ABBA,8/16/19,0,1,0,1
BS40E,FAGR,8/16/19,0,0,0,1
BS40F,PIST,8/16/19,64,65,21,6
BS40F,PIRE,8/16/19,0,1,0,2
BS40F,QURU,8/16/19,1,2,5,2
BS40F,ACRU,8/16/19,0,1,1,2
BS40F,AMSP,8/16/19,1,0,2,0
BS40F,ABBA,8/16/19,0,0,0,1
BS40F,ACPE,8/16/19,1,1,0,0
BS40F,BEPA,8/16/19,0,0,0,1
BS40X,PIRE,8/16/19,1,3,6,1
BS40X,PIST,8/16/19,115,151,53,13
BS40X,AMSP,8/16/19,1,0,0,0
BS40X,QURU,8/16/19,0,1,1,1
BS40X,ACRU,8/16/19,1,0,0,0
BS40X,ABBA,8/16/19,1,0,0,0
