Sort,Plot,Species,DBH_size_class,Mid dbh,Date,Tally,Biomass,Height
35,AC104,ACRU,2_to_4,3,6/11/14,7,4.616126354,
36,AC104,ACRU,2_to_4,3,7/9/19,4,2.637786488,
37,AC104,ACRU,4_to_6,5,6/11/14,3,8.177051426,
38,AC104,ACRU,4_to_6,5,7/9/19,3,8.177051426,
39,AC104,ACRU,6_to_8,7,6/11/14,1,6.94095386,
40,AC104,ACRU,6_to_8,7,7/9/19,0,0,
41,AC104,FAGR,0_to_2,1,6/11/14,0,0,
42,AC104,FAGR,0_to_2,1,7/9/19,0,0,
43,AC104,FAGR,2_to_4,3,6/11/14,1,2.392919529,
44,AC104,FAGR,2_to_4,3,7/9/19,1,2.392919529,
45,AC104,FAGR,4_to_6,5,6/11/14,0,0,
46,AC104,FAGR,4_to_6,5,7/9/19,0,0,
47,AC104,FAGR,6_to_8,7,6/11/14,0,0,
48,AC104,FAGR,6_to_8,7,7/9/19,0,0,
49,AC104,PIRE,0_to_2,1,6/11/14,3,0.1578,
50,AC104,PIRE,0_to_2,1,7/9/19,17,0.8942,
51,AC104,PIRE,2_to_4,3,6/11/14,0,0,
52,AC104,PIRE,2_to_4,3,7/9/19,0,0,
53,AC104,PIRE,4_to_6,5,6/11/14,1,3.065096704,
54,AC104,PIRE,4_to_6,5,7/9/19,1,3.065096704,
55,AC104,PIRE,6_to_8,7,6/11/14,1,7.170251246,
56,AC104,PIRE,6_to_8,7,7/9/19,0,0,
57,AC104,PIST,0_to_2,1,6/11/14,4,0.1632,
58,AC104,PIST,0_to_2,1,7/9/19,4,0.1632,
59,AC104,PIST,2_to_4,3,6/11/14,0,0,
60,AC104,PIST,2_to_4,3,7/9/19,2,1.378991876,
61,AC104,PIST,4_to_6,5,6/11/14,3,7.701595836,
62,AC104,PIST,4_to_6,5,7/9/19,2,5.134397224,
63,AC104,PIST,6_to_8,7,6/11/14,3,18.30801349,
64,AC104,PIST,6_to_8,7,7/9/19,3,18.30801349,
65,AC104,POGR,0_to_2,1,7/9/19,3,0.4161,
66,AC104,POGR,2_to_4,3,7/9/19,2,3.666451809,
67,AC104,POGR,4_to_6,5,7/9/19,1,6.08858225,
68,AC104,POGR,6_to_8,7,7/9/19,0,0,
69,AC104,QURU,0_to_2,1,6/11/14,8,0.3184,
70,AC104,QURU,0_to_2,1,7/9/19,7,0.2786,
71,AC104,QURU,2_to_4,3,6/11/14,3,2.51334678,
72,AC104,QURU,2_to_4,3,7/9/19,7,5.864475819,
73,AC104,QURU,4_to_6,5,6/11/14,0,0,
74,AC104,QURU,4_to_6,5,7/9/19,1,3.454669312,
75,AC104,QURU,6_to_8,7,6/11/14,1,8.783709746,
76,AC104,QURU,6_to_8,7,7/9/19,0,0,
77,AC107,ABBA,0_to_2,1,6/12/14,1,0.0752,
78,AC107,ABBA,0_to_2,1,7/17/19,0,0,
79,AC107,ABBA,2_to_4,3,6/12/14,0,0,
80,AC107,ABBA,2_to_4,3,7/17/19,1,1.165287362,
81,AC107,ABBA,4_to_6,5,6/12/14,0,0,
82,AC107,ABBA,4_to_6,5,7/17/19,0,0,
83,AC107,ABBA,6_to_8,7,6/12/14,0,0,
84,AC107,ABBA,6_to_8,7,7/17/19,0,0,
85,AC107,ACRU,0_to_2,1,6/12/14,1,0.03117,
86,AC107,ACRU,0_to_2,1,7/17/19,0,0,
87,AC107,ACRU,2_to_4,3,6/12/14,3,1.978339866,
88,AC107,ACRU,2_to_4,3,7/17/19,3,1.978339866,
89,AC107,ACRU,4_to_6,5,6/12/14,0,0,
90,AC107,ACRU,4_to_6,5,7/17/19,1,2.725683809,
91,AC107,ACRU,6_to_8,7,6/12/14,0,0,
92,AC107,ACRU,6_to_8,7,7/17/19,0,0,
93,AC107,FAGR,0_to_2,1,6/12/14,9,1.7028,
94,AC107,FAGR,0_to_2,1,7/17/19,13,2.4596,
95,AC107,FAGR,2_to_4,3,6/12/14,1,2.392919529,
96,AC107,FAGR,2_to_4,3,7/17/19,2,4.785839058,
97,AC107,FAGR,4_to_6,5,6/12/14,0,0,
98,AC107,FAGR,4_to_6,5,7/17/19,0,0,
99,AC107,FAGR,6_to_8,7,6/12/14,0,0,
100,AC107,FAGR,6_to_8,7,7/17/19,0,0,
101,AC107,Other,0_to_2,1,6/12/14,1,0.163,
102,AC107,Other,2_to_4,3,6/12/14,0,0,
103,AC107,Other,4_to_6,5,6/12/14,0,0,
104,AC107,Other,6_to_8,7,6/12/14,0,0,
105,AC107,PIRE,0_to_2,1,6/12/14,12,0.6312,
106,AC107,PIRE,0_to_2,1,7/17/19,13,0.6838,
107,AC107,PIRE,2_to_4,3,6/12/14,5,4.21763132,
108,AC107,PIRE,2_to_4,3,7/17/19,6,5.061157584,
109,AC107,PIRE,4_to_6,5,6/12/14,0,0,
110,AC107,PIRE,4_to_6,5,7/17/19,1,3.065096704,
111,AC107,PIRE,6_to_8,7,6/12/14,1,7.170251246,
112,AC107,PIRE,6_to_8,7,7/17/19,2,14.34050249,
113,AC107,PIST,0_to_2,1,6/12/14,26,1.0608,
114,AC107,PIST,0_to_2,1,7/17/19,59,2.4072,
115,AC107,PIST,2_to_4,3,6/12/14,24,16.54790252,
116,AC107,PIST,2_to_4,3,7/17/19,26,17.92689439,
117,AC107,PIST,4_to_6,5,6/12/14,25,64.17996529,
118,AC107,PIST,4_to_6,5,7/17/19,30,77.01595835,
119,AC107,PIST,6_to_8,7,6/12/14,18,109.8480809,
120,AC107,PIST,6_to_8,7,7/17/19,26,158.6694503,
121,AC107,QURU,0_to_2,1,6/12/14,12,0.4776,
122,AC107,QURU,0_to_2,1,7/17/19,15,0.597,
123,AC107,QURU,2_to_4,3,6/12/14,25,20.9445565,
124,AC107,QURU,2_to_4,3,7/17/19,23,19.26899198,
125,AC107,QURU,4_to_6,5,6/12/14,7,24.18268518,
126,AC107,QURU,4_to_6,5,7/17/19,12,41.45603174,
127,AC107,QURU,6_to_8,7,6/12/14,8,70.26967797,
128,AC107,QURU,6_to_8,7,7/17/19,11,96.6208072,
129,BF7,ACRU,0_to_2,1,7/15/19,10,0.3117,
130,BF7,ACRU,0_to_2,1,NA,10,0.3117,
131,BF7,ACRU,2_to_4,3,7/15/19,5,3.29723311,
132,BF7,ACRU,2_to_4,3,NA,9,5.935019597,
133,BF7,ACRU,4_to_6,5,7/15/19,10,27.25683809,
134,BF7,ACRU,4_to_6,5,NA,14,38.15957332,
135,BF7,ACRU,6_to_8,7,7/15/19,13,90.23240018,
136,BF7,ACRU,6_to_8,7,NA,14,97.17335404,
137,BF7,FAGR,0_to_2,1,7/15/19,3,0.5676,
138,BF7,FAGR,0_to_2,1,NA,4,0.7568,
139,BF7,FAGR,2_to_4,3,7/15/19,0,0,
140,BF7,FAGR,2_to_4,3,NA,0,0,
141,BF7,FAGR,4_to_6,5,7/15/19,0,0,
142,BF7,FAGR,4_to_6,5,NA,0,0,
143,BF7,FAGR,6_to_8,7,7/15/19,0,0,
144,BF7,FAGR,6_to_8,7,NA,0,0,
145,BF7,PIRE,0_to_2,1,7/15/19,10,0.526,
146,BF7,PIRE,0_to_2,1,NA,7,0.3682,
147,BF7,PIRE,2_to_4,3,7/15/19,6,5.061157584,
148,BF7,PIRE,2_to_4,3,NA,4,3.374105056,
149,BF7,PIRE,4_to_6,5,7/15/19,0,0,
150,BF7,PIRE,4_to_6,5,NA,0,0,
151,BF7,PIRE,6_to_8,7,7/15/19,1,7.170251246,
152,BF7,PIRE,6_to_8,7,NA,1,7.170251246,
153,BF7,PIST,0_to_2,1,7/15/19,129,5.2632,
154,BF7,PIST,0_to_2,1,NA,131,5.3448,
155,BF7,PIST,2_to_4,3,7/15/19,41,28.26933347,
156,BF7,PIST,2_to_4,3,NA,21,14.4794147,
157,BF7,PIST,4_to_6,5,7/15/19,8,20.53758889,
158,BF7,PIST,4_to_6,5,NA,5,12.83599306,
159,BF7,PIST,6_to_8,7,7/15/19,7,42.71869815,
160,BF7,PIST,6_to_8,7,NA,5,30.51335582,
161,BF7,QURU,0_to_2,1,7/15/19,0,0,
162,BF7,QURU,0_to_2,1,NA,0,0,
163,BF7,QURU,2_to_4,3,7/15/19,0,0,
164,BF7,QURU,2_to_4,3,NA,1,0.83778226,
165,BF7,QURU,4_to_6,5,7/15/19,1,3.454669312,
166,BF7,QURU,4_to_6,5,NA,4,13.81867725,
167,BF7,QURU,6_to_8,7,7/15/19,0,0,
168,BF7,QURU,6_to_8,7,NA,1,8.783709746,
169,BF8,ABBA,0_to_2,1,6/19/14,0,0,
170,BF8,ABBA,0_to_2,1,7/15/19,0,0,
171,BF8,ABBA,0_to_2,1,NA,0,0,
172,BF8,ABBA,2_to_4,3,6/19/14,1,1.168394795,
173,BF8,ABBA,2_to_4,3,7/15/19,1,1.165287362,
174,BF8,ABBA,2_to_4,3,NA,1,1.168394795,
175,BF8,ABBA,4_to_6,5,6/19/14,0,0,
176,BF8,ABBA,4_to_6,5,7/15/19,0,0,
177,BF8,ABBA,4_to_6,5,NA,0,0,
178,BF8,ABBA,6_to_8,7,6/19/14,0,0,
179,BF8,ABBA,6_to_8,7,7/15/19,0,0,
180,BF8,ABBA,6_to_8,7,NA,0,0,
181,BF8,ACRU,0_to_2,1,6/19/14,24,0.74808,
182,BF8,ACRU,0_to_2,1,7/15/19,14,0.43638,
183,BF8,ACRU,0_to_2,1,NA,24,0.74808,
184,BF8,ACRU,2_to_4,3,6/19/14,15,9.891699329,
185,BF8,ACRU,2_to_4,3,7/15/19,14,9.232252707,
186,BF8,ACRU,2_to_4,3,NA,15,9.891699329,
187,BF8,ACRU,4_to_6,5,6/19/14,21,57.23935997,
188,BF8,ACRU,4_to_6,5,7/15/19,14,38.15957332,
189,BF8,ACRU,4_to_6,5,NA,21,57.23935997,
190,BF8,ACRU,6_to_8,7,6/19/14,23,159.6419388,
191,BF8,ACRU,6_to_8,7,7/15/19,28,194.3467081,
192,BF8,ACRU,6_to_8,7,NA,23,159.6419388,
193,BF8,AMEL,0_to_2,1,6/19/14,2,0.326,
194,BF8,AMEL,0_to_2,1,NA,3,0.489,
195,BF8,AMEL,2_to_4,3,6/19/14,0,0,
196,BF8,AMEL,2_to_4,3,NA,0,0,
197,BF8,AMEL,4_to_6,5,6/19/14,0,0,
198,BF8,AMEL,4_to_6,5,NA,0,0,
199,BF8,AMEL,6_to_8,7,6/19/14,0,0,
200,BF8,AMEL,6_to_8,7,NA,0,0,
201,BF8,FAGR,0_to_2,1,6/19/14,4,0.7568,
202,BF8,FAGR,0_to_2,1,7/15/19,7,1.3244,
203,BF8,FAGR,0_to_2,1,NA,4,0.7568,
204,BF8,FAGR,2_to_4,3,6/19/14,2,4.785839058,
205,BF8,FAGR,2_to_4,3,7/15/19,1,2.392919529,
206,BF8,FAGR,2_to_4,3,NA,2,4.785839058,
207,BF8,FAGR,4_to_6,5,6/19/14,0,0,
208,BF8,FAGR,4_to_6,5,7/15/19,2,15.57263652,
209,BF8,FAGR,4_to_6,5,NA,0,0,
210,BF8,FAGR,6_to_8,7,6/19/14,0,0,
211,BF8,FAGR,6_to_8,7,7/15/19,1,16.93729591,
212,BF8,FAGR,6_to_8,7,NA,0,0,
213,BF8,Other,0_to_2,1,6/19/14,1,0.163,
214,BF8,Other,2_to_4,3,6/19/14,0,0,
215,BF8,Other,4_to_6,5,6/19/14,0,0,
216,BF8,Other,6_to_8,7,6/19/14,0,0,
217,BF8,PIRE,0_to_2,1,7/15/19,2,0.1052,
218,BF8,PIRE,2_to_4,3,7/15/19,0,0,
219,BF8,PIRE,4_to_6,5,7/15/19,0,0,
220,BF8,PIRE,6_to_8,7,7/15/19,0,0,
221,BF8,PIST,0_to_2,1,6/19/14,18,0.7344,
222,BF8,PIST,0_to_2,1,7/15/19,28,1.1424,
223,BF8,PIST,0_to_2,1,NA,18,0.7344,
224,BF8,PIST,2_to_4,3,6/19/14,11,7.58445532,
225,BF8,PIST,2_to_4,3,7/15/19,12,8.273951259,
226,BF8,PIST,2_to_4,3,NA,11,7.58445532,
227,BF8,PIST,4_to_6,5,6/19/14,3,7.701595836,
228,BF8,PIST,4_to_6,5,7/15/19,4,10.26879445,
229,BF8,PIST,4_to_6,5,NA,3,7.701595836,
230,BF8,PIST,6_to_8,7,6/19/14,1,6.102671164,
231,BF8,PIST,6_to_8,7,7/15/19,3,18.30801349,
232,BF8,PIST,6_to_8,7,NA,1,6.102671164,
233,BF8,QURU,0_to_2,1,6/19/14,0,0,
234,BF8,QURU,0_to_2,1,7/15/19,2,0.0796,
235,BF8,QURU,0_to_2,1,NA,0,0,
236,BF8,QURU,2_to_4,3,6/19/14,3,2.51334678,
237,BF8,QURU,2_to_4,3,7/15/19,2,1.67556452,
238,BF8,QURU,2_to_4,3,NA,3,2.51334678,
239,BF8,QURU,4_to_6,5,6/19/14,0,0,
240,BF8,QURU,4_to_6,5,7/15/19,0,0,
241,BF8,QURU,4_to_6,5,NA,0,0,
242,BF8,QURU,6_to_8,7,6/19/14,5,43.91854873,
243,BF8,QURU,6_to_8,7,7/15/19,2,17.56741949,
244,BF8,QURU,6_to_8,7,NA,5,43.91854873,
245,BP17#1,ACRU,0_to_2,1,7/22/19,0,0,
246,BP17#1,ACRU,2_to_4,3,7/22/19,0,0,
247,BP17#1,ACRU,4_to_6,5,7/22/19,0,0,
248,BP17#1,ACRU,6_to_8,7,7/22/19,1,6.94095386,
249,BP17#1,AMSP,0_to_2,1,7/22/19,1,0.163,
250,BP17#1,AMSP,2_to_4,3,7/22/19,0,0,
251,BP17#1,AMSP,4_to_6,5,7/22/19,0,0,
252,BP17#1,AMSP,6_to_8,7,7/22/19,0,0,
253,BP17#1,FAGR,0_to_2,1,7/22/19,4,0.7568,
254,BP17#1,FAGR,2_to_4,3,7/22/19,0,0,
255,BP17#1,FAGR,4_to_6,5,7/22/19,0,0,
256,BP17#1,FAGR,6_to_8,7,7/22/19,0,0,
257,BP17#1,PIRE,0_to_2,1,7/22/19,1,0.0526,
258,BP17#1,PIRE,2_to_4,3,7/22/19,1,0.843526264,
259,BP17#1,PIRE,4_to_6,5,7/22/19,1,3.065096704,
260,BP17#1,PIRE,6_to_8,7,7/22/19,1,7.170251246,
261,BP17#1,PIST,0_to_2,1,7/22/19,25,1.02,
262,BP17#1,PIST,2_to_4,3,7/22/19,10,6.894959382,
263,BP17#1,PIST,4_to_6,5,7/22/19,7,17.97039028,
264,BP17#1,PIST,6_to_8,7,7/22/19,2,12.20534233,
265,BP17#1,QURU,0_to_2,1,7/22/19,1,0.0398,
266,BP17#1,QURU,2_to_4,3,7/22/19,0,0,
267,BP17#1,QURU,4_to_6,5,7/22/19,0,0,
268,BP17#1,QURU,6_to_8,7,7/22/19,0,0,
269,BP17#2,ACRU,0_to_2,1,7/22/19,14,0.43638,
270,BP17#2,ACRU,2_to_4,3,7/22/19,0,0,
271,BP17#2,ACRU,4_to_6,5,7/22/19,0,0,
272,BP17#2,ACRU,6_to_8,7,7/22/19,0,0,
273,BP17#2,FAGR,0_to_2,1,7/22/19,0,0,
274,BP17#2,FAGR,2_to_4,3,7/22/19,4,9.571678117,
275,BP17#2,FAGR,4_to_6,5,7/22/19,1,7.786318258,
276,BP17#2,FAGR,6_to_8,7,7/22/19,0,0,
277,BP17#2,PIBA,0_to_2,1,7/22/19,1,0.174681074,6.117
278,BP17#2,PIBA,2_to_4,3,7/22/19,0,0,
279,BP17#2,PIBA,4_to_6,5,7/22/19,0,0,
280,BP17#2,PIBA,6_to_8,7,7/22/19,0,0,
281,BP17#2,PIRE,0_to_2,1,7/22/19,4,0.2104,
282,BP17#2,PIRE,2_to_4,3,7/22/19,1,0.843526264,
283,BP17#2,PIRE,4_to_6,5,7/22/19,0,0,
284,BP17#2,PIRE,6_to_8,7,7/22/19,0,0,
285,BP17#2,PIST,0_to_2,1,7/22/19,31,1.2648,
286,BP17#2,PIST,2_to_4,3,7/22/19,15,10.34243907,
287,BP17#2,PIST,4_to_6,5,7/22/19,2,5.134397224,
288,BP17#2,PIST,6_to_8,7,7/22/19,4,24.41068465,
289,BP17#3,PIRE,0_to_2,1,7/22/19,15,0.789,
290,BP17#3,PIRE,2_to_4,3,7/22/19,0,0,
291,BP17#3,PIRE,4_to_6,5,7/22/19,0,0,
292,BP17#3,PIRE,6_to_8,7,7/22/19,0,0,
293,BP17#3,PIST,0_to_2,1,7/22/19,55,2.244,
294,BP17#3,PIST,2_to_4,3,7/22/19,20,13.78991876,
295,BP17#3,PIST,4_to_6,5,7/22/19,5,12.83599306,
296,BP17#3,PIST,6_to_8,7,7/22/19,0,0,
297,BP36#1,ACRU,0_to_2,1,7/31/14,4,0.12468,
298,BP36#1,ACRU,0_to_2,1,7/16/19,2,0.06234,
299,BP36#1,ACRU,2_to_4,3,7/31/14,4,2.637786488,
300,BP36#1,ACRU,2_to_4,3,7/16/19,2,1.318893244,
301,BP36#1,ACRU,4_to_6,5,7/31/14,4,10.90273523,
302,BP36#1,ACRU,4_to_6,5,7/16/19,2,5.451367617,
303,BP36#1,ACRU,6_to_8,7,7/31/14,3,20.82286158,
304,BP36#1,ACRU,6_to_8,7,7/16/19,3,20.82286158,
305,BP36#1,AMEL,0_to_2,1,7/31/14,0,0,
306,BP36#1,AMEL,2_to_4,3,7/31/14,3,7.572674128,
307,BP36#1,AMEL,4_to_6,5,7/31/14,1,9.024409525,
308,BP36#1,AMEL,6_to_8,7,7/31/14,0,0,
309,BP36#1,AMSP,0_to_2,1,7/16/19,0,0,
310,BP36#1,AMSP,2_to_4,3,7/16/19,2,5.048449419,
311,BP36#1,AMSP,4_to_6,5,7/16/19,0,0,
312,BP36#1,AMSP,6_to_8,7,7/16/19,0,0,
313,BP36#1,FAGR,0_to_2,1,7/31/14,4,0.7568,
314,BP36#1,FAGR,0_to_2,1,7/16/19,3,0.5676,
315,BP36#1,FAGR,2_to_4,3,7/31/14,0,0,
316,BP36#1,FAGR,2_to_4,3,7/16/19,1,2.392919529,
317,BP36#1,FAGR,4_to_6,5,7/31/14,0,0,
318,BP36#1,FAGR,4_to_6,5,7/16/19,0,0,
319,BP36#1,FAGR,6_to_8,7,7/31/14,0,0,
320,BP36#1,FAGR,6_to_8,7,7/16/19,0,0,
321,BP36#1,PIRE,0_to_2,1,7/31/14,4,0.2104,
322,BP36#1,PIRE,0_to_2,1,7/16/19,8,0.4208,
323,BP36#1,PIRE,2_to_4,3,7/31/14,2,1.687052528,
324,BP36#1,PIRE,2_to_4,3,7/16/19,1,0.843526264,
325,BP36#1,PIRE,4_to_6,5,7/31/14,0,0,
326,BP36#1,PIRE,4_to_6,5,7/16/19,0,0,
327,BP36#1,PIRE,6_to_8,7,7/31/14,0,0,
328,BP36#1,PIRE,6_to_8,7,7/16/19,0,0,
329,BP36#1,PIST,0_to_2,1,7/31/14,57,2.3256,
330,BP36#1,PIST,0_to_2,1,7/16/19,60,2.448,
331,BP36#1,PIST,2_to_4,3,7/31/14,21,14.4794147,
332,BP36#1,PIST,2_to_4,3,7/16/19,34,23.4428619,
333,BP36#1,PIST,4_to_6,5,7/31/14,15,38.50797917,
334,BP36#1,PIST,4_to_6,5,7/16/19,18,46.20957501,
335,BP36#1,PIST,6_to_8,7,7/31/14,12,73.23205396,
336,BP36#1,PIST,6_to_8,7,7/16/19,11,67.1293828,
337,BP36#1,POGR,0_to_2,1,7/31/14,1,0.1387,
338,BP36#1,POGR,0_to_2,1,7/16/19,0,0,
339,BP36#1,POGR,2_to_4,3,7/31/14,1,1.833225904,
340,BP36#1,POGR,2_to_4,3,7/16/19,0,0,
341,BP36#1,POGR,4_to_6,5,7/31/14,0,0,
342,BP36#1,POGR,4_to_6,5,7/16/19,1,6.08858225,
343,BP36#1,POGR,6_to_8,7,7/31/14,1,13.42418212,
344,BP36#1,POGR,6_to_8,7,7/16/19,1,13.42418212,
345,BP36#1,QURU,0_to_2,1,7/31/14,43,1.7114,
346,BP36#1,QURU,0_to_2,1,7/16/19,29,1.1542,
347,BP36#1,QURU,2_to_4,3,7/31/14,15,12.5667339,
348,BP36#1,QURU,2_to_4,3,7/16/19,22,18.43120972,
349,BP36#1,QURU,4_to_6,5,7/31/14,5,17.27334656,
350,BP36#1,QURU,4_to_6,5,7/16/19,5,17.27334656,
351,BP36#1,QURU,6_to_8,7,7/31/14,0,0,
352,BP36#1,QURU,6_to_8,7,7/16/19,1,8.783709746,
353,BP36#2,ACRU,0_to_2,1,7/31/14,2,0.06234,
354,BP36#2,ACRU,0_to_2,1,7/12/19,2,0.06234,
355,BP36#2,ACRU,2_to_4,3,7/31/14,9,5.935019597,
356,BP36#2,ACRU,2_to_4,3,7/12/19,9,5.935019597,
357,BP36#2,ACRU,4_to_6,5,7/31/14,8,21.80547047,
358,BP36#2,ACRU,4_to_6,5,7/12/19,7,19.07978666,
359,BP36#2,ACRU,6_to_8,7,7/31/14,5,34.7047693,
360,BP36#2,ACRU,6_to_8,7,7/12/19,4,27.76381544,
361,BP36#2,BEPA,0_to_2,1,7/31/14,0,0,
362,BP36#2,BEPA,2_to_4,3,7/31/14,0,0,
363,BP36#2,BEPA,4_to_6,5,7/31/14,1,2.902235479,
364,BP36#2,BEPA,6_to_8,7,7/31/14,0,0,
365,BP36#2,FAGR,0_to_2,1,7/31/14,4,0.7568,
366,BP36#2,FAGR,0_to_2,1,7/12/19,1,0.1892,
367,BP36#2,FAGR,2_to_4,3,7/31/14,0,0,
368,BP36#2,FAGR,2_to_4,3,7/12/19,0,0,
369,BP36#2,FAGR,4_to_6,5,7/31/14,0,0,
370,BP36#2,FAGR,4_to_6,5,7/12/19,0,0,
371,BP36#2,FAGR,6_to_8,7,7/31/14,0,0,
372,BP36#2,FAGR,6_to_8,7,7/12/19,0,0,
373,BP36#2,PIRE,0_to_2,1,7/31/14,2,0.1052,
374,BP36#2,PIRE,0_to_2,1,7/12/19,2,0.1052,
375,BP36#2,PIRE,2_to_4,3,7/31/14,0,0,
376,BP36#2,PIRE,2_to_4,3,7/12/19,1,0.843526264,
377,BP36#2,PIRE,4_to_6,5,7/31/14,0,0,
378,BP36#2,PIRE,4_to_6,5,7/12/19,0,0,
379,BP36#2,PIRE,6_to_8,7,7/31/14,0,0,
380,BP36#2,PIRE,6_to_8,7,7/12/19,0,0,
381,BP36#2,PIST,0_to_2,1,7/31/14,63,2.5704,
382,BP36#2,PIST,0_to_2,1,7/12/19,95,3.876,
383,BP36#2,PIST,2_to_4,3,7/31/14,23,15.85840658,
384,BP36#2,PIST,2_to_4,3,7/12/19,36,24.82185378,
385,BP36#2,PIST,4_to_6,5,7/31/14,20,51.34397224,
386,BP36#2,PIST,4_to_6,5,7/12/19,16,41.07517779,
387,BP36#2,PIST,6_to_8,7,7/31/14,11,67.1293828,
388,BP36#2,PIST,6_to_8,7,7/12/19,13,79.33472513,
389,BP36#2,POGR,0_to_2,1,7/31/14,2,0.2774,
390,BP36#2,POGR,2_to_4,3,7/31/14,1,1.833225904,
391,BP36#2,POGR,4_to_6,5,7/31/14,1,6.08858225,
392,BP36#2,POGR,6_to_8,7,7/31/14,0,0,
393,BP36#2,QURU,0_to_2,1,7/31/14,10,0.398,
394,BP36#2,QURU,0_to_2,1,7/12/19,2,0.0796,
395,BP36#2,QURU,2_to_4,3,7/31/14,1,0.83778226,
396,BP36#2,QURU,2_to_4,3,7/12/19,3,2.51334678,
397,BP36#2,QURU,4_to_6,5,7/31/14,0,0,
398,BP36#2,QURU,4_to_6,5,7/12/19,0,0,
399,BP36#2,QURU,6_to_8,7,7/31/14,1,8.783709746,
400,BP36#2,QURU,6_to_8,7,7/12/19,2,17.56741949,
401,BP54#1,ACRU,0_to_2,1,7/11/19,7,0.21819,
402,BP54#1,ACRU,0_to_2,1,NA,6,0.18702,
403,BP54#1,ACRU,2_to_4,3,7/11/19,8,5.275572975,
404,BP54#1,ACRU,2_to_4,3,NA,10,6.59446622,
405,BP54#1,ACRU,4_to_6,5,7/11/19,11,29.98252189,
406,BP54#1,ACRU,4_to_6,5,NA,18,49.06230856,
407,BP54#1,ACRU,6_to_8,7,7/11/19,6,41.64572316,
408,BP54#1,ACRU,6_to_8,7,NA,5,34.7047693,
409,BP54#1,AMEL,0_to_2,1,NA,3,0.489,
410,BP54#1,AMEL,2_to_4,3,NA,11,27.76647181,
411,BP54#1,AMEL,4_to_6,5,NA,1,9.024409525,
412,BP54#1,AMEL,6_to_8,7,NA,0,0,
413,BP54#1,AMSP,0_to_2,1,7/11/19,1,0.163,
414,BP54#1,AMSP,2_to_4,3,7/11/19,2,5.048449419,
415,BP54#1,AMSP,4_to_6,5,7/11/19,0,0,
416,BP54#1,AMSP,6_to_8,7,7/11/19,0,0,
417,BP54#1,FAGR,0_to_2,1,7/11/19,1,0.1892,
418,BP54#1,FAGR,2_to_4,3,7/11/19,0,0,
419,BP54#1,FAGR,4_to_6,5,7/11/19,0,0,
420,BP54#1,FAGR,6_to_8,7,7/11/19,0,0,
421,BP54#1,PIRE,0_to_2,1,7/11/19,11,0.5786,
422,BP54#1,PIRE,0_to_2,1,NA,12,0.6312,
423,BP54#1,PIRE,2_to_4,3,7/11/19,9,7.591736376,
424,BP54#1,PIRE,2_to_4,3,NA,5,4.21763132,
425,BP54#1,PIRE,4_to_6,5,7/11/19,1,3.065096704,
426,BP54#1,PIRE,4_to_6,5,NA,0,0,
427,BP54#1,PIRE,6_to_8,7,7/11/19,0,0,
428,BP54#1,PIRE,6_to_8,7,NA,0,0,
429,BP54#1,PIST,0_to_2,1,7/11/19,44,1.7952,
