Index,Plot,Species,0-2,"0-2, Dead",0-2 Mean Height,2-4,"2-4, dead",2-4 Mean Height,4-6,"4-6, dead",4-6 Mean Height,6-8,"6-8, dead",Tally Date,6-8 Mean Height,,Biomass 0-2,"Biomass 0-2, dead",Biomass 2-4,"Biomass 2-4, dead",Biomass 4-6,"Biomass 4-6, dead",Biomass 6-8,"Biomass 6-8, dead",,Total Biomass (kg)
17,BF7,PIST,130,1,,21,,,5,,,5,,,,,5.304,0.0408,14.4794147,0,12.83599306,0,30.51335582,0,,63.17356358
18,BF7,PIRE,6,1,,4,,,,,,1,,,,,0.3156,0.0526,3.374105056,0,0,0,7.170251246,0,,10.9125563
19,BF7,ACRU,5,5,,7,2,,13,1,,13,1,,,,0.15585,0.15585,4.616126353,1.318893244,35.43388951,2.725683809,90.23240018,6.94095386,,141.579647
20,BF7,QURU,,,,1,,,,4,,,1,,,,0,0,0.83778226,0,0,13.81867725,0,8.783709746,,23.44016925
21,BF7,FAGR,4,,,,,,,,,,,,,,0.7568,0,0,0,0,0,0,0,,0.7568
22,BF8,PIST,14,4,,10,1,,2,1,,1,,6/19/14,,,0.5712,0.1632,6.894959382,0.689495938,5.134397224,2.567198612,6.102671164,0,,22.12312232
23,BF8,ACRU,21,3,,12,3,,17,4,,23,,6/19/14,,,0.65457,0.09351,7.913359463,1.978339866,46.33662474,10.90273523,159.6419388,0,,227.5210781
24,BF8,QURU,,,,2,1,,,,,1,4,6/19/14,,,0,0,1.67556452,0.83778226,0,0,8.783709746,35.13483898,,46.43189551
25,BF8,Other,,1,,,,,,,,,,6/19/14,,,0,0.163,0,0,0,0,0,0,,0.163
26,BF8,FAGR,4,,,2,,,,,,,,6/19/14,,,0.7568,0,4.785839058,0,0,0,0,0,,5.542639058
27,BF8,ABBA,,,,1,,,,,,,,6/19/14,,,0,0,1.168394795,0,0,0,0,0,,1.168394795
28,BF8,AMEL,1,1,,,,,,,,,,6/19/14,,,0.163,0.163,0,0,0,0,0,0,,0.326
29,BF8,PIST,14,4,,10,1,,2,1,,1,,,,,0.5712,0.1632,6.894959382,0.689495938,5.134397224,2.567198612,6.102671164,0,,22.12312232
30,BF8,ACRU,21,3,,12,3,,17,4,,23,,,,,0.65457,0.09351,7.913359463,1.978339866,46.33662474,10.90273523,159.6419388,0,,227.5210781
31,BF8,QURU,,,,2,1,,,,,1,4,,,,0,0,1.67556452,0.83778226,0,0,8.783709746,35.13483898,,46.43189551
32,BF8,FAGR,4,,,2,,,,,,,,,,,0.7568,0,4.785839058,0,0,0,0,0,,5.542639058
33,BF8,ABBA,,,,1,,,,,,,,,,,0,0,1.168394795,0,0,0,0,0,,1.168394795
34,BF8,AMEL,1,2,,,,,,,,,,,,,0.163,0.326,0,0,0,0,0,0,,0.489
35,BP54#1,PIST,54,1,,25,,,11,,,11,,,,,2.2032,0.0408,17.23739846,0,28.23918473,0,67.1293828,0,,114.849966
36,BP54#1,ACRU,3,3,,6,4,,15,3,,5,,,,,0.09351,0.09351,3.956679732,2.637786488,40.88525713,8.177051426,34.7047693,0,,90.54856407
37,BP54#1,POGR,,,,,2,,2,5,,4,10,,,,0,0,0,3.666451809,12.1771645,30.44291125,53.69672849,134.2418212,,234.2250773
38,BP54#1,QURU,1,,,,1,,,3,,1,2,,,,0.0398,0,0,0.83778226,0,10.36400793,8.783709746,17.56741949,,37.59271943
39,BP54#1,PIRE,11,1,,5,,,,,,,,,,,0.5786,0.0526,4.21763132,0,0,0,0,0,,4.84883132
40,BP54#1,AMEL,1,2,,5,6,,1,,,,,,,,0.163,0.326,12.62112355,15.14534826,9.024409525,0,0,0,,37.27988133
41,BP54#2,ACRU,8,12,,19,4,,13,2,,12,,,,,0.24936,0.37404,12.52948582,2.637786488,35.43388951,5.451367617,83.29144632,0,,139.9673758
42,BP54#2,PIST,40,,,34,,,8,,,3,1,,,,1.632,0,23.4428619,0,20.53758889,0,18.30801349,6.102671164,,70.02313545
43,BP54#2,PIRE,9,,,2,,,,,,,,,,,0.4734,0,1.687052528,0,0,0,0,0,,2.160452528
44,BP54#2,QURU,2,1,,,3,,,3,,,,,,,0.0796,0.0398,0,2.51334678,0,10.36400793,0,0,,12.99675471
45,BP54#2,ACSA,2,,,,,,,,,,,,,,0.3386,0,0,0,0,0,0,0,,0.3386
46,BP54#2,AMEL,1,,,,,,,,,,,,,,0.163,0,0,0,0,0,0,0,,0.163
47,BP54#2,POGR,,,,,,,,2,,1,6,,,,0,0,0,0,0,12.1771645,13.42418212,80.54509274,,106.1464394
48,BP54#2,BEPA,,,,,,,1,,,,,,,,0,0,0,0,2.902235479,0,0,0,,2.902235479
49,BP54#2,FAGR,1,,,,,,,,,,,,,,0.1892,0,0,0,0,0,0,0,,0.1892
50,BP80#2,PIRE,15,1,,4,,,2,,,,,7/17/14,,,0.789,0.0526,3.374105056,0,6.130193408,0,0,0,,10.34589846
51,BP80#2,POGR,1,8,,17,13,,40,6,,45,8,7/17/14,,,0.1387,1.1096,31.16484037,23.83193676,243.54329,36.5314935,604.0881955,107.393457,,1047.801513
52,BP80#2,ACRU,11,31,,52,16,,30,1,,15,,7/17/14,,,0.34287,0.96627,34.29122434,10.55114595,81.77051426,2.725683809,104.1143079,0,,234.7620163
53,BP80#2,PIST,22,,,18,,,23,,,13,,7/17/14,,,0.8976,0,12.41092689,0,59.04556807,0,79.33472513,0,,151.6888201
54,BP80#2,QURU,,,,,,,6,,,,,7/17/14,,,0,0,0,0,20.72801587,0,0,0,,20.72801587
55,BP80#2,BEPA,1,,,,1,,3,,,1,,7/17/14,,,0.0301,0,0,0.680723277,8.706706436,0,7.543038108,0,,16.96056782
56,BP80#2,POGR,,,,,,,3,,,16,,7/17/14,,,0,0,0,0,18.26574675,0,214.786914,0,,233.0526607
57,BP98#1,POGR,13,44,,74,26,,95,11,,59,1,7/30/14,,,1.8031,6.1028,135.6587169,47.66387351,578.4153138,66.97440475,792.0267452,13.42418212,,1642.069136
58,BP98#1,ACRU,22,10,,22,1,,14,,,7,,7/30/14,,,0.68574,0.3117,14.50782568,0.659446622,38.15957332,0,48.58667702,0,,102.9109626
59,BP98#1,QURU,,,,,,,1,,,,,7/30/14,,,0,0,0,0,3.454669312,0,0,0,,3.454669312
60,BP98#1,PIST,1,,,,,,,,,,,7/30/14,,,0.0408,0,0,0,0,0,0,0,,0.0408
61,BP98#2,POGR,50,268,,277,82,,240,6,,161,,7/30/14,,,6.935,37.1716,507.8035755,150.3245242,1461.25974,36.5314935,2161.293322,0,,4361.319255
62,BP98#2,ACRU,45,44,,73,1,,27,,,8,,7/30/14,,,1.40265,1.37148,48.1396034,0.659446622,73.59346283,0,55.52763088,0,,180.6942737
63,BP98#2,PIST,3,,,,,,,,,,,7/30/14,,,0.1224,0,0,0,0,0,0,0,,0.1224
64,BP98#2,QURU,3,8,,3,3,,4,,,6,,7/30/14,,,0.1194,0.3184,2.51334678,2.51334678,13.81867725,0,52.70225847,0,,71.98542928
65,BP98#2,PIRE,1,,,,,,,,,,,7/30/14,,,0.0526,0,0,0,0,0,0,0,,0.0526
66,BP98#2,POTR,1,,,7,,,1,,,1,,7/30/14,,,0.0589,0,7.361069981,0,4.016641778,0,9.710240864,0,,21.14685262
67,BP98#2,FAGR,8,,,,,,,,,,,7/30/14,,,1.5136,0,0,0,0,0,0,0,,1.5136
68,BS40E,PIRE,,1,,1,2,,1,,,1,,7/28/14,,,0,0.0526,0.843526264,1.687052528,3.065096704,0,7.170251246,0,,12.81852674
69,BS40E,PIST,190,8,,116,3,,45,,,13,4,7/28/14,,,7.752,0.3264,79.98152883,2.068487815,115.5239375,0,79.33472513,24.41068465,,309.397764
70,BS40E,QURU,5,,,1,,,2,,,,,7/28/14,,,0.199,0,0.83778226,0,6.909338623,0,0,0,,7.946120883
71,BS40E,ACRU,4,,,,,,1,,,2,,7/28/14,,,0.12468,0,0,0,2.725683809,0,13.88190772,0,,16.73227153
72,BS40E,ABBA,1,,,,,,1,,,1,,7/28/14,,,0.0752,0,0,0,4.183559417,0,9.692317818,0,,13.95107723
73,BS40E,FAGR,,,,,,,,,,1,,7/28/14,,,0,0,0,0,0,0,16.93729591,0,,16.93729591
74,BS40E,AMEL,2,,,,,,,,,,,7/28/14,,,0.326,0,0,0,0,0,0,0,,0.326
75,BS40F,ACRU,,,,3,,,,,,1,,6/13/14,,,0,0,1.978339866,0,0,0,6.94095386,0,,8.919293726
76,BS40F,PIST,58,3,,62,1,,29,4,,4,2,6/13/14,,,2.3664,0.1224,42.74874817,0.689495938,74.44875974,10.26879445,24.41068465,12.20534233,,167.2606253
77,BS40F,ABBA,,,,,,,,,,1,,6/13/14,,,0,0,0,0,0,0,9.692317818,0,,9.692317818
78,BS40F,PIRE,1,,,1,1,,,1,,2,,6/13/14,,,0.0526,0,0.843526264,0.843526264,0,3.065096704,14.34050249,0,,19.14525172
79,BS40F,QURU,,,,6,,,3,,,1,,6/13/14,,,0,0,5.026693559,0,10.36400793,0,8.783709746,0,,24.17441124
80,BS40F,AMEL,,,,2,1,,1,,,,,6/13/14,,,0,0,5.048449419,2.524224709,9.024409525,0,0,0,,16.59708365
81,BS40F,BEPA,,,,,,,,,,1,,6/13/14,,,0,0,0,0,0,0,7.543038108,0,,7.543038108
82,BS40F,ACPE,1,,,1,,,,,,,,6/13/14,,,0.03117,0,0.659446622,0,0,0,0,0,,0.690616622
83,BS40X,PIST,119,1,,144,4,,76,3,,17,,7/28/14,,,4.8552,0.0408,99.2874151,2.757983753,195.1070945,7.701595835,103.7454098,0,,413.495499
84,BS40X,PIRE,1,1,,7,1,,4,1,,3,1,7/28/14,,,0.0526,0.0526,5.904683848,0.843526264,12.26038682,3.065096704,21.51075374,7.170251246,,50.85989862
85,BS40X,QURU,,,,1,,,,,,1,,7/28/14,,,0,0,0.83778226,0,0,0,8.783709746,0,,9.621492006
86,BS40X,AMEL,1,,,,,,,,,,,7/28/14,,,0.163,0,0,0,0,0,0,0,,0.163
87,BS40X,ACRU,,,,,,,,1,,,,7/28/14,,,0,0,0,0,0,2.725683809,0,0,,2.725683809
88,BS42C,ACRU,1,,,1,,,1,,,1,,6/12/14,,,0.03117,0,0.659446622,0,2.725683809,0,6.94095386,0,,10.35725429
89,BS42C,FAGR,4,,,1,,,,,,,,6/12/14,,,0.7568,0,2.392919529,0,0,0,0,0,,3.149719529
90,BS42C,PIST,64,2,,55,2,,19,,,3,1,6/12/14,,,2.6112,0.0816,37.9222766,1.378991876,48.77677362,0,18.30801349,6.102671164,,115.1815268
91,BS42C,PIRE,,,,,1,,,4,,,1,6/12/14,,,0,0,0,0.843526264,0,12.26038682,0,7.170251246,,20.27416433
92,BS42C,ABBA,,,,,,,,,,1,,6/12/14,,,0,0,0,0,0,0,9.692317818,0,,9.692317818
93,BS42C,AMEL,45,2,,3,,,,,,,,6/12/14,,,7.335,0.326,7.572674128,0,0,0,0,0,,15.23367413
94,BS42C,BEPA,,,,,,,,,,,1,6/12/14,,,0,0,0,0,0,0,0,7.543038108,,7.543038108
95,BS42A,PIST,205,3,,86,2,,13,1,,7,,7/28/14,,,8.364,0.1224,59.29665069,1.378991876,33.37358195,2.567198612,42.71869815,0,,147.8215213
96,BS42A,FAGR,7,,,3,1,,,,,,,7/28/14,,,1.3244,0,7.178758588,2.392919529,0,0,0,0,,10.89607812
97,BS42A,ABBA,,,,2,,,,,,,1,7/28/14,,,0,0,2.33678959,0,0,0,0,9.692317818,,12.02910741
98,BS42A,PIRE,,,,,1,,,2,,,1,7/28/14,,,0,0,0,0.843526264,0,6.130193408,0,7.170251246,,14.14397092
99,BS42A,POGR,,,,1,,,,,,,,7/28/14,,,0,0,1.833225904,0,0,0,0,0,,1.833225904
100,BS42A,BEPA,1,,,,,,,,,1,,7/28/14,,,0.0301,0,0,0,0,0,7.543038108,0,,7.573138108
101,BS42A,AMEL,5,,,,,,,,,,,7/28/14,,,0.815,0,0,0,0,0,0,0,,0.815
102,BS42A,ACRU,1,,,1,,,1,,,1,,7/28/14,,,0.03117,0,0.659446622,0,2.725683809,0,6.94095386,0,,10.35725429
103,BS42B,PIST,395,1,,112,,,31,,,3,,7/28/14,,,16.116,0.0408,77.22354508,0,79.58315697,0,18.30801349,0,,191.2715155
104,BS42B,ACRU,,,,4,,,,,,2,,7/28/14,,,0,0,2.637786488,0,0,0,13.88190772,0,,16.51969421
105,BS42B,PIRE,1,,,1,1,,1,1,,2,2,7/28/14,,,0.0526,0,0.843526264,0.843526264,3.065096704,3.065096704,14.34050249,14.34050249,,36.55085092
106,BS42B,AMEL,19,,,,,,,,,,,7/28/14,,,3.097,0,0,0,0,0,0,0,,3.097
107,BS42B,FAGR,5,,,1,,,1,,,,,7/28/14,,,0.946,0,2.392919529,0,7.786318258,0,0,0,,11.12523779
108,BS42B,ABBA,,,,,,,,,,1,,7/28/14,,,0,0,0,0,0,0,9.692317818,0,,9.692317818
109,BS42B,BEPA,,,,,,,,,,1,,7/28/14,,,0,0,0,0,0,0,7.543038108,0,,7.543038108
110,BS42B,PIGL,,,,1,,,,,,,,7/28/14,,,0,0,1.941807365,0,0,0,0,0,,1.941807365
111,CP1,FAGR,84,10,,63,1,,14,1,,1,,6/13/14,,,15.8928,1.892,150.7539303,2.392919529,109.0084556,7.786318258,16.93729591,0,,304.6637196
112,CP1,ACSA,2,,,,,,3,1,,2,1,6/13/14,,,0.3386,0,0,0,22.07416655,7.358055517,32.37864874,16.18932437,,78.33879518
113,CP2,FAGR,49,7,,55,4,,17,1,,6,3,6/18/14,,,9.2708,1.3244,131.6105741,9.571678117,132.3674104,7.786318258,101.6237755,50.81188773,,444.366844
114,CP2,ACSA,,,,2,1,,1,,,,1,6/18/14,,,0,0,4.444964802,2.222482401,7.358055517,0,0,16.18932437,,30.21482709
115,CP2,ACRU,,,,,,,,,,,1,6/18/14,,,0,0,0,0,0,0,0,6.94095386,,6.94095386
116,CP3,FAGR,97,9,,83,3,,14,,,12,,6/18/14,,,18.3524,1.7028,198.6123209,7.178758588,109.0084556,0,203.2475509,0,,538.102286
117,CP3,ACSA,1,,,,1,,2,1,,2,1,6/18/14,,,0.1693,0,0,2.222482401,14.71611103,7.358055517,32.37864874,16.18932437,,73.03392206
118,CP3,TSCA,,,,,,,,,,1,,6/18/14,6.90,,,,,,,,27.82563119,0,,27.82563119
119,DNR#1,ACRU,11,45,,46,17,,51,1,,20,,7/29/14,,,0.34287,1.40265,30.33454461,11.21059257,139.0098742,2.725683809,138.8190772,0,,323.8452924
120,DNR#1,POGR,,34,,16,42,,51,27,,40,11,7/29/14,,,0,4.7158,29.33161447,76.99548798,310.5176948,164.3917208,536.9672849,147.6660034,,1270.585606
121,DNR#1,QURU,1,7,,2,16,,7,7,,6,,7/29/14,,,0.0398,0.2786,1.67556452,13.40451616,24.18268518,24.18268518,52.70225847,0,,116.4661095
122,DNR#1,FAGR,,,,7,,,1,,,,,7/29/14,,,0,0,16.7504367,0,7.786318258,0,0,0,,24.53675496
123,DNR#1,BEPA,1,,,1,1,,2,,,3,,7/29/14,,,0.0301,0,0.680723277,0.680723277,5.804470958,0,22.62911432,0,,29.82513183
124,DNR#1,PIST,1,,,,,,2,,,,,7/29/14,,,0.0408,0,0,0,5.134397224,0,0,0,,5.175197224
125,DNR#2,POGR,,11,,12,34,,38,27,,35,14,7/29/14,,,0,1.5257,21.99871085,62.32968075,231.3661255,164.3917208,469.8463743,187.9385497,,1139.396862
126,DNR#2,ACRU,12,58,,44,29,,45,1,,30,1,7/29/14,,,0.37404,1.80786,29.01565136,19.12395204,122.6557714,2.725683809,208.2286158,6.94095386,,390.8725283
127,DNR#2,QURU,,5,,9,5,,9,2,,5,,7/29/14,,,0,0.199,7.540040339,4.1889113,31.0920238,6.909338623,43.91854873,0,,93.8478628
128,DNR#2,BEPA,,,,,2,,1,4,,1,,7/29/14,,,0,0,0,1.361446554,2.902235479,11.60894192,7.543038108,0,,23.41566206
129,DNR#2,FAGR,1,,,1,,,,,,,,7/29/14,,,0.1892,0,2.392919529,0,0,0,0,0,,2.582119529
130,DNR#2,AMEL,3,,,,,,,,,,,7/29/14,,,0.489,0,0,0,0,0,0,0,,0.489
131,DNR#3,POGR,1,31,,25,43,,73,18,,61,7,7/29/14,,,0.1387,4.2997,45.83064761,78.82871389,444.4665043,109.5944805,818.8751095,93.96927486,,1596.003131
132,DNR#3,ACRU,18,59,,81,22,,46,2,,35,,7/29/14,,,0.56106,1.83903,53.41517638,14.50782568,125.3814552,5.451367617,242.9333851,0,,444.0893
133,DNR#3,QURU,2,,,1,2,,1,1,,1,,7/29/14,,,0.0796,0,0.83778226,1.67556452,3.454669312,3.454669312,8.783709746,0,,18.28599515
134,DNR#3,FAGR,,,,,,,1,,,,,7/29/14,,,0,0,0,0,7.786318258,0,0,0,,7.786318258
135,DNR#3,AMEL,7,,,1,,,,,,,,7/29/14,,,1.141,0,2.524224709,0,0,0,0,0,,3.665224709
136,DNR#3,BEPA,1,,,2,1,,1,,,2,,7/29/14,,,0.0301,0,1.361446554,0.680723277,2.902235479,0,15.08607622,0,,20.06058152
137,DNR#3,PIST,,,,1,,,1,,,,,7/29/14,,,0,0,0.689495938,0,2.567198612,0,0,0,,3.25669455
138,PSA1,ACRU,8,25,,32,22,,25,5,,18,,7/17/14,,,0.24936,0.77925,21.1022919,14.50782568,68.14209521,13.62841904,124.9371695,0,,243.3464113
139,PSA1,POGR,,2,,1,2,,2,12,,30,11,7/17/14,,,0,0.2774,1.833225904,3.666451809,12.1771645,73.062987,402.7254637,147.6660034,,641.4086963
140,PSA1,PIST,8,,,12,,,5,1,,7,2,7/17/14,,,0.3264,0,8.273951259,0,12.83599306,2.567198612,42.71869815,12.20534233,,78.9275834
141,PSA1,QURU,3,2,,6,2,,2,1,,5,2,7/17/14,,,0.1194,0.0796,5.026693559,1.67556452,6.909338623,3.454669312,43.91854873,17.56741949,,78.75123423
142,PSA1,AMEL,4,1,,3,,,,,,,,7/17/14,,,0.652,0.163,7.572674128,0,0,0,0,0,,8.387674128
143,PSA1,PIRE,1,,,,,,,,,,1,7/17/14,,,0.0526,0,0,0,0,0,0,7.170251246,,7.222851246
144,PSA2,PIST,38,1,,5,,,4,,,4,,,,,1.5504,0.0408,3.447479691,0,10.26879445,0,24.41068465,0,,39.71815879
145,PSA2,ACRU,24,9,,28,11,,29,6,,20,,,,,0.74808,0.28053,18.46450541,7.253912841,79.04483045,16.35410285,138.8190772,0,,260.9650388
146,PSA2,POGR,,1,,,5,,,17,,8,20,,,,0,0.1387,0,9.166129522,0,103.5058983,107.393457,268.4836425,,488.6878272
147,PSA2,POTR,,,,,,,1,3,,2,,,,,0,0,0,0,4.016641778,12.04992533,19.42048173,0,,35.48704884
148,PSA2,PIRE,1,,,,,,1,,,,,,,,0.0526,0,0,0,3.065096704,0,0,0,,3.117696704
149,PSA2,QURU,,1,,,5,,4,2,,,1,,,,0,0.0398,0,4.1889113,13.81867725,6.909338623,0,8.783709746,,33.74043692
150,PSA2,AMEL,,,,,1,,,,,,,,,,0,0,0,2.524224709,0,0,0,0,,2.524224709
151,PSA3,POGR,2,6,,,9,,7,9,,27,10,,,,0.2774,0.8322,0,16.49903314,42.62007575,54.79724025,362.4529173,134.2418212,,611.7206877
152,PSA3,PIST,13,1,,,,,,,,,,,,,0.5304,0.0408,0,0,0,0,0,0,,0.5712
153,PSA3,QURU,,,,7,6,,6,2,,3,,,,,0,0,5.864475819,5.026693559,20.72801587,6.909338623,26.35112924,0,,64.87965311
154,PSA3,ACRU,8,5,,16,9,,14,1,,17,2,,,,0.24936,0.15585,10.55114595,5.935019597,38.15957332,2.725683809,117.9962156,13.88190772,,189.654756
155,PSA3,Unknown,1,,,,,,,,,,,,,,0.163,0,0,0,0,0,0,0,,0.163
156,PSA3,BEPA,,,,1,,,1,,,7,,,,,0,0,0.680723277,0,2.902235479,0,52.80126675,0,,56.38422551
157,PSA3,FAGR,8,,,8,,,2,,,3,,,,,1.5136,0,19.14335623,0,15.57263652,0,50.81188773,0,,87.04148048
158,PSA3,PIRE,1,,,1,,,,,,,,,,,0.0526,0,0.843526264,0,0,0,0,0,,0.896126264
159,BP36#2,PIST,59,4,,18,5,,20,,,10,1,7/31/14,,,2.4072,0.1632,12.41092689,3.447479691,51.34397224,0,61.02671164,6.102671164,,136.9021616
160,BP36#2,ACRU,,2,,7,2,,8,,,5,,7/31/14,,,0,0.06234,4.616126353,1.318893244,21.80547047,0,34.7047693,0,,62.50759937
161,BP36#2,POGR,,2,,,1,,,1,,,,7/31/14,,,0,0.2774,0,1.833225904,0,6.08858225,0,0,,8.199208155
162,BP36#2,QURU,8,2,,1,,,,,,,1,7/31/14,,,0.3184,0.0796,0.83778226,0,0,0,0,8.783709746,,10.01949201
163,BP36#2,BEPA,,,,,,,1,,,,,7/31/14,,,0,0,0,0,2.902235479,0,0,0,,2.902235479
164,BP36#2,PIRE,2,,,,,,,,,,,7/31/14,,,0.1052,0,0,0,0,0,0,0,,0.1052
165,BP36#2,FAGR,4,,,,,,,,,,,7/31/14,,,0.7568,0,0,0,0,0,0,0,,0.7568
166,BP36#1,PIST,56,1,,17,4,,13,2,,12,,7/31/14,,,2.2848,0.0408,11.72143095,2.757983753,33.37358195,5.134397224,73.23205396,0,,128.5450478
167,BP36#1,ACRU,4,,,4,,,4,,,3,,7/31/14,,,0.12468,0,2.637786488,0,10.90273523,0,20.82286158,0,,34.4880633
168,BP36#1,AMEL,,,,2,1,,,1,,,,7/31/14,,,0,0,5.048449419,2.524224709,0,9.024409525,0,0,,16.59708365
169,BP36#1,QURU,37,6,,15,,,5,,,,,7/31/14,,,1.4726,0.2388,12.5667339,0,17.27334656,0,0,0,,31.55148046
170,BP36#1,FAGR,4,,,,,,,,,,,7/31/14,,,0.7568,0,0,0,0,0,0,0,,0.7568
171,BP36#1,PIRE,4,,,1,1,,,,,,,7/31/14,,,0.2104,0,0.843526264,0.843526264,0,0,0,0,,1.897452528
172,BP36#1,POGR,,1,,,1,,,,,1,,7/31/14,,,0,0.1387,0,1.833225904,0,0,13.42418212,0,,15.39610803
173,BP80#3,POGR,,8,,17,35,,55,22,,49,9,7/31/14,,,0,1.1096,31.16484037,64.16290665,334.8720238,133.9488095,657.784924,120.8176391,,1343.860743
174,BP80#3,PIST,31,3,,39,12,,,,,2,,7/31/14,,,1.2648,0.1224,26.89034159,8.273951259,0,0,12.20534233,0,,48.75683518
175,BP80#3,ACRU,31,65,,52,21,,45,,,31,,7/31/14,,,0.96627,2.02605,34.29122434,13.84837906,122.6557714,0,215.1695697,0,,388.9572644
176,BP80#3,QURU,1,,,3,2,,3,1,,2,,7/31/14,,,0.0398,0,2.51334678,1.67556452,10.36400793,3.454669312,17.56741949,0,,35.61480804
177,BP80#3,PIRE,10,,,3,,,1,,,,,7/31/14,,,0.526,0,2.530578792,0,3.065096704,0,0,0,,6.121675496
178,BP80#3,AMEL,,,,2,,,,,,,,7/31/14,,,0,0,5.048449419,0,0,0,0,0,,5.048449419
179,BP80#1,POGR,,11,,16,25,,48,20,,52,6,7/31/14,,,0,1.5257,29.33161447,45.83064761,292.251948,121.771645,698.0574704,80.54509274,,1269.314118
180,BP80#1,ACRU,9,40,,32,19,,23,1,,15,,7/31/14,,,0.28053,1.2468,21.1022919,12.52948582,62.6907276,2.725683809,104.1143079,0,,204.689827
181,BP80#1,PIST,25,,,22,1,,6,1,,,,7/31/14,,,1.02,0,15.16891064,0.689495938,15.40319167,2.567198612,0,0,,34.84879686
182,BP80#1,QURU,,,,1,2,,6,2,,3,,7/31/14,,,0,0,0.83778226,1.67556452,20.72801587,6.909338623,26.35112924,0,,56.50183051
183,BP80#1,PIRE,15,2,,6,,,1,,,,,7/31/14,,,0.789,0.1052,5.061157584,0,3.065096704,0,0,0,,9.020454288
