attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Percent_Loss_On_Ignition	Percent mass loss of the oven-dried fine earth fraction after heating to 375 degrees Celsius. Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997.	numeric	dimensionless		NA	?
Percent_C_Concentration	Percent total carbon of the oven-dried fine earth fraction analyzed with an elemental analyzer. 	numeric	dimensionless			
C_Concentration_Code	Code indicating how Percent_C_Concentration attribute was collected.	categorical				
Ca_Concentration	Exchangeable calcium concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
K_Concentration	Exchangeable potassium concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Mg_Concentration	Exchangeable magnesium concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
P_Concentration	Exchangeable phosphorus concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Al_Concentration	Exchangeable aluminum concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Cu_Concentration	Exchangeable copper concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Fe_Concentration	Exchangeable iron concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Mn_Concentration	Exchangeable manganese concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Na_Concentration	Exchangeable sodium concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
S_Concentration	Exchangeable sulfur concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Zn_Concentration	Exchangeable zinc concentration, measured using a modified Morgan extraction (pH 4.8 ammonium acetate). Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in mg per kg.	numeric	milligramsPerKilogram		NA	?
Acidity	Exchangeable acidity, measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in milliequivalents per 100 g.	numeric	milliequivalentsPerHectogram		NA	?
ECEC	Effective cation exchange capacity, calculated by summation of exchangeable bases and acidity. Measured by the Maine Soil Testing Service according to methods described in Hoskins et al. 1997. Expressed in milliequivalents per 100 g.	numeric	milliequivalentsPerHectogram		NA	?
Root_C_Stock	Calculated fine root (less than 2 mm diameter) carbon stock, based on sample fine root dry mass (g) and assuming a 47% carbon concentration. For O and A horizons, computation is fine root dry carbon mass (g) of the sample, collected from a 15x15 cm (= 225 square cm) template, scaled to mass in Mg (= 1000000 g) and area in ha (10000000 square cm). For mineral soil horizons collected with a corer, calculated as the volumetric root mass (g roots per cubic cm of fine earth), converted to carbon mass, divided by the thickness of the increment to get g of root carbon per square cm of soil, scaled to mass in Mg (= 1000000 g) and area in ha (10000000 square cm).	numeric	megagramsPerHectare		NA	?
Soil_C_Stock	Calculated soil carbon stock (for the less than 2 mm fine earth fraction). For O and A horizons, computation is the carbon concentration times the mass density of the fine earth fraction, collected from a 225 square cm template, scaled to mass in Mg (= 1000000 g) and area in ha (10000000 square cm). For mineral soil increments, calculated as the product of the carbon concentration times the bulk density (g per cubic cm) times the increment thickness (cm) to yield g of carbon per square cm, scaled to mass in Mg (= 1000000 g) and area in ha (10000000 square cm).	numeric	megagramsPerHectare			
